gene,p_value,response_mean,non_response_mean,DE.r.nr.,FDR,response_variance,non_response_variance,Checkpoint,cancer
CST2,0.29666428148668,0.369479550943812,0.610535457311036,-0.241055906367224,0.741419904786921,0.521394402521035,0.74636768305035,PD-1,Melanoma
GLI1,0.702550287325408,0.883666090535872,0.961107028909869,-0.077440938373998,0.915039058661138,0.236020083759814,0.675193152763133,PD-1,Melanoma
GPHN,0.092604496229328,6.36998628436697,5.827691669669,0.542294614697963,0.564612364138813,0.831223730960682,1.5244110143721,PD-1,Melanoma
ANKRD23,0.770827214084716,2.90621303897758,2.8046790793901,0.101533959587481,0.940696390078018,1.58100418327359,1.50237131970885,PD-1,Melanoma
FAM200A,0.55951507713405,2.01429437897522,1.88122161921909,0.133072759756137,0.878504295000377,0.830449193203218,0.554593892864762,PD-1,Melanoma
ZNF512B,0.791500448759714,2.65514601678694,2.71007898104818,-0.054932964261234,0.94531803015173,0.554011074936686,0.538438098711551,PD-1,Melanoma
INPP5F,0.75910287963237,5.78714625266558,5.66814698750109,0.118999265164492,0.935659634262637,1.48922289243835,2.1246008090347,PD-1,Melanoma
DEPDC7,0.49971209307749,1.50925062559285,1.34479359187684,0.164457033716001,0.857166314532363,0.617125129705834,0.816915930094236,PD-1,Melanoma
ZC3H4,0.379389716701132,4.92195867893422,5.09082098419057,-0.168862305256352,0.787687753016039,0.402128375066702,0.495239711793894,PD-1,Melanoma
LIFR,0.875400088054216,2.91202551760403,2.97483428831818,-0.062808770714151,0.971649917490602,1.36916184095382,2.38745642460553,PD-1,Melanoma
XIRP1,0.108312664827656,0.576217073373802,0.27860120212498,0.297615871248821,0.583032683574041,0.724756588484503,0.253647540630032,PD-1,Melanoma
DEF8,0.936577518768941,4.86871191839226,4.8494800626391,0.019231855753157,0.988930788851018,0.706147915029193,0.753354148481332,PD-1,Melanoma
COPB2,0.272646876416781,5.81118492594973,5.59939559258621,0.211789333363522,0.719348528266725,0.558949298473311,0.411851165353102,PD-1,Melanoma
DDX10,0.39280792270066,4.27526785032939,4.10842325934946,0.166844590979922,0.79569446973377,0.454177595932593,0.490206655004496,PD-1,Melanoma
COL6A2,0.626680384801073,7.56958123171134,7.71413746314148,-0.144556231430136,0.897047375547422,0.874876484193337,1.24305311039561,PD-1,Melanoma
ALPK3,0.832759896449101,1.13480227305329,1.18716176577087,-0.052359492717583,0.959606183071401,0.824191775712811,0.74725144305389,PD-1,Melanoma
KRT6C,0.021836940830922,3.16284566573683,6.42180882650907,-3.25896316077224,0.428254400117251,16.2757851912657,28.6461336659777,PD-1,Melanoma
ANKRD17,0.831348652927068,6.60023594808143,6.57414749591014,0.026088452171292,0.95869756642788,0.188933301931482,0.189200256036977,PD-1,Melanoma
FBXO11,0.099004588611817,5.99445661147078,6.24403957439683,-0.249582962926045,0.560358691793719,0.247502844876411,0.299987862662299,PD-1,Melanoma
SOX21,0.383712244961201,0.44703292496213,0.658600441783598,-0.211567516821468,0.791856569862962,0.59210068888503,0.820141974492929,PD-1,Melanoma
SDHC,0.475881458767363,7.64874455990507,7.4985676544416,0.150176905463467,0.839197601113808,0.470295515590839,0.605013215477404,PD-1,Melanoma
PRSS50,0.264653518415834,0.265958833861808,0.544966819743064,-0.279007985881256,0.716052885063579,0.214123608085541,1.09544526949239,PD-1,Melanoma
IL2RB,0.00752637627733,2.81426140729701,1.93756871431751,0.876692692979505,0.317448117231481,1.52597377250954,1.12163530438021,PD-1,Melanoma
SDHB,0.004696216221846,6.76123972208755,6.0535353155426,0.707704406544946,0.328628403342375,0.708455662125002,0.744390469260256,PD-1,Melanoma
SCN8A,0.97141469476279,2.16813425268053,2.18283500930786,-0.014700756627337,0.996995281724877,1.94833270822766,2.21886467996922,PD-1,Melanoma
PRPSAP2,0.16080175078162,4.24021529065724,3.84464898685707,0.39556630380017,0.635569436016185,0.543433011217197,1.23092036821135,PD-1,Melanoma
ANO5,0.296057491183331,1.03665683605889,0.754848235230816,0.281808600828078,0.740504480384628,1.1275670017384,0.784564807018163,PD-1,Melanoma
IKZF3,0.002987719845604,2.4918887186347,1.44236789356997,1.04952082506473,0.287474668894221,1.44544600376196,1.44800715891511,PD-1,Melanoma
NAA25,0.985220006445774,4.71110631625468,4.70777407020415,0.003332246050532,0.99753120678939,0.428514256902936,0.396438002583442,PD-1,Melanoma
LDB1,0.315566085287338,5.35985960453776,5.57758842446311,-0.217728819925351,0.753784310783331,0.287872872190121,0.755288043459537,PD-1,Melanoma
PDZD7,0.288883816598737,1.38103080751723,1.12790423207769,0.25312657543954,0.735709901825898,0.762215714525696,0.681639298744478,PD-1,Melanoma
IL31RA,0.348860406620956,0.429840492532093,0.653501679954282,-0.223661187422189,0.766696068512436,0.205333398262081,0.996198680085251,PD-1,Melanoma
MRPL52,0.416046763067173,4.74801473683405,4.49540075617887,0.252613980655179,0.810251728958777,0.82649281943334,1.42228725039368,PD-1,Melanoma
NFIB,0.096203381292901,3.81680729330777,4.36487156683555,-0.548064273527779,0.56206871157655,1.00099062589278,1.51817485969718,PD-1,Melanoma
STK4,0.438421696994523,4.98459499134746,4.86649709510041,0.118097896247054,0.816636663669775,0.186277921749653,0.349834974134748,PD-1,Melanoma
MPHOSPH8,0.411198126235762,5.0443899384173,5.16951075716088,-0.12512081874358,0.808996185737962,0.159168597363412,0.363725596674057,PD-1,Melanoma
DUSP18,0.863072898048025,2.12772050306075,2.15972394548034,-0.032003442419586,0.969500712546468,0.394983874998195,0.455839387904151,PD-1,Melanoma
DICER1,0.170212284403321,6.50491702458721,6.74799005696491,-0.243073032377702,0.641473223595869,0.194020559594578,0.497911880049603,PD-1,Melanoma
C15orf40,0.828697385640815,2.65623322746823,2.72069830724762,-0.064465079779391,0.957433114592146,1.11230372041201,1.12217940919726,PD-1,Melanoma
IL21R,0.566659076989523,0.954351323499268,0.829628144362558,0.12472317913671,0.88118348386401,0.623477768123617,0.579903014383913,PD-1,Melanoma
DPEP3,0.256094674708991,0.044396974344395,0.317074521783643,-0.272677547439249,0.707188792312989,0.009333967559061,1.11394647051171,PD-1,Melanoma
PRIMA1,0.412125310006308,0.17880780275449,0.286026915133351,-0.107219112378861,0.809269023921826,0.139376392004047,0.255849005528275,PD-1,Melanoma
SPTB,0.85511046914872,1.63046160977224,1.57734831182716,0.053113297945076,0.967616734475894,1.40675236568609,0.876115272400356,PD-1,Melanoma
FBN2,0.094616867101369,1.20002806476087,1.68783346455155,-0.487805399790671,0.562404119314894,0.773702545241564,1.19735122668345,PD-1,Melanoma
BRAF,0.59208928948341,6.17246004879172,5.99760705366888,0.174852995122842,0.888855642281531,1.76962176482516,1.09833441415366,PD-1,Melanoma
CDK13,0.582323500639522,6.36264723442099,6.44289249012858,-0.080245255707583,0.885856748255478,0.303927620575551,0.247323777573365,PD-1,Melanoma
LAG3,0.040368639728825,1.46647079586598,1.004783005369,0.461687790496988,0.481763727616475,1.04063831615092,0.376046522764596,PD-1,Melanoma
CNTRL,0.77921218846695,4.00908311530182,4.06102274476762,-0.0519396294658,0.942708969858443,0.42780140086504,0.435028291950922,PD-1,Melanoma
PAWR,0.228481210598429,3.18981119584292,3.58033531716398,-0.390524121321061,0.683003541196664,1.52632733963789,1.18537728317742,PD-1,Melanoma
ENPP6,0.765838756956884,0.056388367541333,0.082466115409061,-0.026077747867727,0.937581523924551,0.035627345986478,0.130645435365546,PD-1,Melanoma
PROM1,0.163113610396538,1.17752937710714,0.775871781310246,0.401657595796892,0.638153502428134,1.237097521103,0.908769572845488,PD-1,Melanoma
KCNQ3,0.564432870424177,1.17083191334658,1.02709454672424,0.143737366622343,0.881282357016247,1.33954402335312,0.470283712970063,PD-1,Melanoma
MAPK6,0.039998002194736,3.25964332728685,3.68912447208823,-0.429481144801385,0.482956269637613,0.222053501568414,0.701353957897981,PD-1,Melanoma
TSSC4,0.038170703871622,1.81833997948966,1.40989778510935,0.408442194380308,0.471998382412548,0.305437939951511,0.561506537408484,PD-1,Melanoma
HPR,0.368724746979192,1.55545170577282,1.8648054797438,-0.309353773970978,0.780277316803389,1.4151233785095,1.51922260323108,PD-1,Melanoma
DMWD,0.05978212260871,3.66541988900462,3.94420556472058,-0.278785675715953,0.509886857374562,0.1935073439301,0.308579451940039,PD-1,Melanoma
ELF3,0.369208962527205,1.88667164434851,1.48582811090803,0.40084353344048,0.780229509692013,4.07180173470891,1.61092450111162,PD-1,Melanoma
CCDC42,0.154775186314897,0.139660721773309,0.024492264963712,0.115168456809597,0.6328722425811,0.188431729776195,0.020995486506844,PD-1,Melanoma
PTPN11,0.141203346448328,7.68244559915082,7.46129703767483,0.221148561475981,0.625561300308494,0.233980457012291,0.304173753163887,PD-1,Melanoma
KAT7,0.288483527660147,5.87582090737422,6.06028855208045,-0.184467644706229,0.735907855563871,0.436939045767928,0.343063982813758,PD-1,Melanoma
CSPG5,0.113187577609564,0.62654087757976,0.367743422926272,0.258797454653488,0.587697388633807,0.481456482646138,0.243137287164437,PD-1,Melanoma
HEMK1,0.812114144663699,3.08959356394727,3.04088689423653,0.048706669710744,0.954389103595241,0.64228876622884,0.465823882392918,PD-1,Melanoma
SPARC,0.690623631622778,8.32451662151047,8.19550330892051,0.129013312589967,0.912630970715251,0.776908741406501,1.62773101623179,PD-1,Melanoma
SAMD9,0.876607777717318,4.10952747197363,4.15217364671,-0.042646174736365,0.970890412802742,0.916571239262036,0.970029957227246,PD-1,Melanoma
TP63,0.103242816982578,2.66360743884409,3.82909221604756,-1.16548477720347,0.569685723099208,4.03935835167713,7.54712061570803,PD-1,Melanoma
ERC1,0.808059530002711,5.9421761039269,5.98999241391258,-0.047816309985682,0.952168118208323,0.582042805430095,0.435734531485204,PD-1,Melanoma
ERP29,0.021962100390573,4.77010007124601,4.22280604771939,0.547294023526622,0.427982956345401,0.548552979728271,0.759965087725367,PD-1,Melanoma
ENOPH1,0.027222968634509,3.71912547678096,3.25844092588428,0.460684550896686,0.448232729548947,0.430584852891612,0.575646160921462,PD-1,Melanoma
SH3GL1,0.506219109483234,3.65748277652125,3.81650630548468,-0.159023528963428,0.859706915664025,0.523416794143645,0.827541891648881,PD-1,Melanoma
TUBGCP6,0.274263963080596,4.30848328259196,4.51636554002684,-0.207882257434881,0.722377025085676,0.495171763406248,0.42579201485062,PD-1,Melanoma
CACNA1D,0.951954695681262,3.47002804740279,3.49453199030466,-0.024503942901874,0.990225847298178,1.88937700773484,2.19463438484482,PD-1,Melanoma
CLEC7A,0.618742168848945,3.34006577687186,3.5085647222237,-0.168498945351846,0.892321844443045,1.23132971456995,1.55985604758829,PD-1,Melanoma
RAPH1,0.68214672737412,4.56427382570068,4.49849522424524,0.065778601455435,0.91002156567804,0.388980743892806,0.288836229763264,PD-1,Melanoma
CLP1,0.958667098196791,2.34776395364599,2.33245785903567,0.015306094610317,0.992180166503502,0.97850528690534,1.16735348699625,PD-1,Melanoma
PTPN13,0.198922271761361,4.65629010913899,5.14351582197481,-0.487225712835819,0.661427294549926,1.60844795939907,1.88413242441348,PD-1,Melanoma
NRG1,0.2135201505111,1.41037139564019,1.8396352926109,-0.429263896970711,0.668118438438696,0.760941455763207,1.88086242106539,PD-1,Melanoma
EIF3J,0.937710298492592,5.24301825447159,5.22880973318446,0.014208521287126,0.988770551047497,0.404584408667621,0.4235473728156,PD-1,Melanoma
VTI1A,0.011378427613795,5.26404725735112,4.63770817170304,0.626339085648074,0.336867102143021,0.569404058846392,0.813690158538753,PD-1,Melanoma
ZNF518B,0.202709322977364,2.37835962951861,2.11835614700278,0.260003482515831,0.663275244896178,0.429622910553918,0.566083847911814,PD-1,Melanoma
HMGCLL1,0.464650357406298,0.112352610571383,0.170822860942163,-0.058470250370779,0.832262042148918,0.044056380310925,0.100409136061121,PD-1,Melanoma
CCDC87,0.619243203172686,0.15069795676859,0.182901020068105,-0.032203063299515,0.892208620762144,0.028825330802512,0.066235574878645,PD-1,Melanoma
BCL9L,0.536061977525345,5.8173195444603,5.99305893049809,-0.17573938603779,0.870076346231173,0.853201743859478,1.10271396377941,PD-1,Melanoma
GOLIM4,0.008669623843797,5.72536767853924,5.09762496840767,0.627742710131574,0.317782997798207,0.693886293195794,0.664306137437504,PD-1,Melanoma
FAM160B1,0.558677353519741,4.26473617817137,4.17007053058134,0.094665647590031,0.878981896518795,0.128125850680652,0.441712710389087,PD-1,Melanoma
PWWP2A,0.088917828775076,4.12963318734793,4.36538986183686,-0.235756674488934,0.557592657430668,0.147809783190426,0.284582998101684,PD-1,Melanoma
CENPP,0.875910238595585,2.74419587477776,2.78249741870575,-0.038301543927984,0.971515714926444,0.663498357884247,0.811313331907773,PD-1,Melanoma
STRA6,0.898004308555412,2.8765680495292,2.94144861554614,-0.064880566016935,0.978745226917562,3.25554089163533,3.21500643354464,PD-1,Melanoma
CTNND1,0.155261527035631,6.94285839287797,7.15884541517015,-0.215987022292179,0.633179128136036,0.216534720092497,0.324261233401766,PD-1,Melanoma
EED,0.130326402507083,3.68559274466793,3.34270796496168,0.342884779706254,0.616397839200167,0.474808125395992,0.722479650631268,PD-1,Melanoma
AMMECR1L,0.5214861324889,2.68892984953574,2.56911382966411,0.119816019871631,0.865116272593385,0.508243206735278,0.399853757631243,PD-1,Melanoma
IFT81,0.834369944406924,4.39460427492762,4.46167156051629,-0.067067285588671,0.95930734086218,1.04674152634696,1.43605956288228,PD-1,Melanoma
SERINC4,0.294461318854629,2.24687532868035,2.67392343969802,-0.427048111017667,0.740724183622061,2.06974108491008,2.07039536491878,PD-1,Melanoma
THRAP3,0.427036122534322,6.11474160071829,5.98897028545795,0.125771315260346,0.811632235359985,0.137145500398448,0.413195746400552,PD-1,Melanoma
EIF5,0.256190218266115,7.56214168446183,7.39953170653605,0.162609977925785,0.706185928416623,0.293034843447746,0.234412413721578,PD-1,Melanoma
DCAF8,0.69432024993513,5.62686440676443,5.70265032136824,-0.075785914603815,0.913594892970199,0.427092711490125,0.491110091853453,PD-1,Melanoma
PIP4K2C,0.235071025457352,5.18344668179701,4.88699066541386,0.296456016383152,0.686701790686136,0.911214168572223,0.699521256998664,PD-1,Melanoma
ATE1,0.293454994053178,3.84103801996028,3.58831422937201,0.252723790588272,0.740613054663718,0.525289352212575,0.831864268975993,PD-1,Melanoma
SEPT10,0.486699764020277,4.82704690617996,4.96311704268971,-0.136070136509742,0.847116208828962,0.517233865049165,0.459615090873354,PD-1,Melanoma
CYP7A1,0.311819842044384,0.426813170839875,0.647622330559012,-0.220809159719137,0.750072885667702,0.571483583451181,0.608290001971225,PD-1,Melanoma
TTC14,0.339289353004208,6.26721069954366,6.5102500216315,-0.24303932208784,0.765327412380919,0.578222619191839,0.937214006175065,PD-1,Melanoma
SDC4,0.790913559010205,2.25681601020927,2.18870870713353,0.068107303075737,0.944983643070401,1.06118633364226,0.703067064140099,PD-1,Melanoma
C14orf178,0.785085498466824,0.107161823488236,0.133794210713786,-0.02663238722555,0.941307729664857,0.145946240452952,0.105762227739487,PD-1,Melanoma
MCM3AP,0.433674743829749,5.37334214033004,5.24723028104406,0.126111859285978,0.813206173113153,0.250992136352136,0.366707215026391,PD-1,Melanoma
SLC22A11,0.510291095546587,0.087480932821857,0.146346729680646,-0.058865796858789,0.862341538522471,0.05616851639221,0.125074514084353,PD-1,Melanoma
HTRA2,0.150794030649228,4.91899443284979,4.67348519338741,0.245509239462378,0.633417217420155,0.281263576907471,0.405511385433375,PD-1,Melanoma
VPS13A,0.031061036069018,5.80576525201868,6.30464317671674,-0.498877924698064,0.453255592684866,0.313800900309507,0.830805707401094,PD-1,Melanoma
TCL1A,0.19796412254271,0.30816986659401,0.147991126005924,0.160178740588086,0.659666161589832,0.282378666389144,0.141684692757913,PD-1,Melanoma
ST8SIA5,0.11575362751504,0.223459129374033,0.571659308883866,-0.348200179509832,0.592035579931575,0.200870867233299,0.82847576324552,PD-1,Melanoma
PEX5,0.0257486978037,5.37108143984836,4.94302747024696,0.428053969601396,0.447910963489226,0.346148205699979,0.4970181233271,PD-1,Melanoma
ZNF681,0.58054636192309,1.62125890476319,1.77289119987057,-0.151632295107383,0.885779112171058,0.991371571194431,0.921556157824256,PD-1,Melanoma
CARD11,0.44510810987196,1.84806463610347,1.62924851584804,0.21881612025543,0.822128296518155,0.866553986862507,1.12068237642734,PD-1,Melanoma
HDAC5,0.989503605351888,3.65571760035853,3.65307814066474,0.002639459693794,0.997930429373883,0.246302454114035,0.653475265389576,PD-1,Melanoma
TLCD1,0.703636351417714,2.58025547872908,2.68643417167977,-0.106178692950688,0.916066099794986,0.890268635546195,1.03144951574814,PD-1,Melanoma
HMBOX1,0.958861396417083,5.55088851017034,5.5628560526669,-0.011967542496558,0.992047795553831,0.518697917103291,0.768004559427623,PD-1,Melanoma
PIK3CA,0.030922483058021,4.43263015667176,4.05512071619911,0.37750944047265,0.453382501598312,0.349246398053195,0.379991796468648,PD-1,Melanoma
FAM86B2,0.800119157946979,1.71645247045965,1.82655949303578,-0.110107022576132,0.948255152932544,1.89646984181304,2.65468521414594,PD-1,Melanoma
STAT3,0.696652740056025,6.8656509402731,6.79274487503667,0.072906065236439,0.914319602145141,0.322706283065876,0.506030242799334,PD-1,Melanoma
TRPV3,0.007000676859081,0.87590420326528,2.01335566588594,-1.13745146262066,0.342144191255699,0.722001228918244,2.85657534025731,PD-1,Melanoma
RGPD5,0.160230883903463,6.35791034319156,6.8198212502011,-0.461910907009535,0.634943232353618,1.92756114362251,1.0095634306666,PD-1,Melanoma
STRC,0.572329542978071,2.21600430298222,2.44318859930688,-0.227184296324653,0.883752589182287,2.64973777033205,1.69143290611268,PD-1,Melanoma
DCC,0.596733771192825,0.953314960593985,1.15166563816382,-0.198350677569837,0.888034452152107,1.02315444466307,2.18287996320412,PD-1,Melanoma
SCAF4,0.679932441474921,5.1743471435273,5.11299807214981,0.061349071377483,0.911014789948338,0.248856094742533,0.294827725470899,PD-1,Melanoma
