gene	E_mutational_propensity	E_cancer_types	E_variant	I_mutational_propensity	I_cancer_type	I_variant
ZG16B	MP1	pan-cancer	SCNAs	MP1	pan-cancer	SCNAs
ZNF18	MP4	UCEC	SCNAs	MP1	UCEC	SCNAs
ZNF18	MP4	UCEC	SCNAs	MP4	UCEC	SCNAs
ZNF18	MP1	UCEC	SCNAs	MP1	UCEC	SCNAs
ZNF18	MP1	UCEC	SCNAs	MP4	UCEC	SCNAs
ZNF214	MP4	UCEC	TSS_methylation	MP1	UCEC	SCNAs
ZNF214	MP4	UCEC	TSS_methylation	MP4	UCEC	SCNAs
ZNF214	MP1	UCEC	TSS_methylation	MP1	UCEC	SCNAs
ZNF214	MP1	UCEC	TSS_methylation	MP4	UCEC	SCNAs
ZNF563	MP6	UCEC	SCNAs	MP6	UCEC	Somatic_Nsy_mutations
ZNF609	MP2	UCEC	SCNAs	MP2	UCEC	SCNAs
ZNF638	MP3	UCEC	SCNAs	MP3	UCEC	Somatic_Nsy_mutations
ZNF638	MP3	UCEC	SCNAs	MP3	UCEC	SCNAs
ZNF704	MP3	pan-cancer	SCNAs	MP3	pan-cancer	SCNAs
ZNF846	MP2	COAD	Germline_missense	MP5	pan-cancer	Somatic_Nsy_mutations
ZWILCH	MP4	UCEC	SCNAs	MP4	UCEC	SCNAs
