MP5	MP4	MP2	MP1	MP3	MP6	cancer	pop	depmapID
NA	-3.25624953301052	-1.49634241938147	-1.48099884243196	-1.76097461179212	-3.00321014161884	BRCA	EA	ACH-000223
NA	-2.2544654709183	-3.36190986582859	-0.673253855357693	-1.48872480832115	-3.5968549126166	STAD	EAA	ACH-000225
NA	-2.14221627502001	-1.3770804098311	-1.39419838369036	-1.45692640189433	NA	GBM	EA	ACH-000232
NA	NA	-1.60478727172448	-1.41076990037738	-1.75000328563315	-2.47318427748376	KIRC	EA	ACH-000234
-2.0686397534681	-1.45621542508516	-1.90295620275232	-0.122252984821561	-1.13058721367852	-2.55927242687141	COAD	EA	ACH-000236
NA	-3.77601685289076	-1.52429551635449	-1.2641063142629	-1.47869582295919	-1.72782915585816	OV	EAA	ACH-000237
NA	-4.13432028061757	-2.09828946166135	-0.78251260388494	-1.90647623186461	-3.10036045942923	STAD	EAA	ACH-000239
-4.21839795529513	-2.93186457078554	-2.30075266696249	-0.811975167781106	-1.7031909204407	-2.63249927218911	GBM	EA	ACH-000244
NA	NA	-2.34892646029454	-1.46903543490579	-2.60210040256652	-4.3866065842739	KIRC	NA	ACH-000246
NA	-3.49859343289702	-2.63421049237337	-0.885580437791271	-1.72433522048785	-3.39753331387928	STAD	EAA	ACH-000247
NA	-3.99945636176539	-0.184977295573196	-1.89032016976766	-2.90062676969839	-2.65811273177657	BRCA	EA	ACH-000248
NA	-3.53201789070923	NA	-0.350273103337387	-2.12365282493158	-1.73194140145058	COAD	EA	ACH-000249
NA	-2.80998009981266	-3.94645730958569	-0.828254945589102	-2.17745022697473	-3.45719442433737	KIRC	EAA	ACH-000250
-2.96912366060045	-1.85861622897208	NA	-1.34701094963834	-2.15784761699692	-2.87027115324483	COAD	EA	ACH-000252
-3.01900762899654	-2.63220317804564	-2.57280885261198	-0.445340043941031	-2.65109384435751	-2.05896207078358	COAD	NA	ACH-000253
NA	-2.06326146375899	-1.62781821603762	-0.962661184097925	-1.13152599339619	-3.55858254811227	STAD	EAA	ACH-000255
NA	-2.12174516380394	NA	-0.910964540043922	NA	-2.6097566487149	OV	EA	ACH-000256
-3.3570231282587	-2.81473475599184	-3.29194024951437	-0.324695004082224	-2.29319937489284	-2.30868800763112	BRCA	EA	ACH-000258
NA	-2.46557475445604	-2.21282486419861	-0.969066046522	-1.73100180226781	-3.06690642755559	KIRC	EA	ACH-000262
-4.64525338671293	-2.40432135815293	-1.80170669081602	-0.855490966865477	-1.3887178263761	-2.6464287116922	LUAD	EA	ACH-000264
-2.80228793421214	-3.22480579416179	-2.25285094406011	-1.1828704827302	-1.4925876645267	NA	GBM	EAA	ACH-000269
NA	-2.72314555555499	NA	NA	-1.63229591862499	-2.64889684334438	KIRC	NA	ACH-000272
NA	-2.79832043739606	-2.06028797207714	-1.78036050690434	-3.38613860664747	-3.06215498107107	BRCA	EA	ACH-000276
NA	NA	-1.84494291821319	-0.923360479539919	-2.61111367078462	-2.03452876657295	BRCA	NA	ACH-000277
NA	-1.63600074218296	-2.33176627370317	-1.80473159170843	-0.868277275735312	-3.48873796208976	OV	EA	ACH-000278
NA	NA	-1.66178797361113	-0.921090129366093	-1.47054607558257	-2.35503734723074	OV	NA	ACH-000280
-3.77855399257821	-0.862890583936365	-2.94531625996551	-1.71400397405357	NA	-4.17653133742938	LUAD	EA	ACH-000282
NA	-5.20340733706493	NA	-1.08839704444152	-1.24690161509465	-2.99121363595915	COAD	NA	ACH-000286
NA	-4.64858846682394	-2.34097156130879	-1.22540209150193	-2.96717458462057	-2.38988865290406	BRCA	EA	ACH-000288
NA	NA	-3.11056968508827	-0.581030958725165	-1.43885428895166	-2.13632388774032	GBM	NA	ACH-000289
NA	NA	-3.11903407766486	-0.901748071664662	-1.83163430871724	-2.26257721110603	OV	EA	ACH-000291
NA	NA	-2.65056590229102	-1.02647421224829	-2.57638733217988	-3.567611378778	UCEC	EA	ACH-000293
-4.14427037774509	-2.46879809578257	-2.70129623080704	-1.03083729482074	-1.63590443201779	-2.67742699443328	COAD	EAA	ACH-000296
NA	-2.43067590466693	-2.12363833856852	-1.18532869875439	-3.23709446655352	-4.89259787100677	KIRC	NA	ACH-000300
NA	-1.62311978544923	-2.62261862814421	-0.927451514211165	-1.57940103960891	-3.51761788847198	UCEC	NA	ACH-000302
NA	-1.94375928662968	-2.47977507509471	-0.571451891706335	-2.5363738130455	-3.14495077954449	STAD	EAA	ACH-000303
-4.05041665897347	NA	-1.31995809170222	-1.32940354335347	-2.25524468996769	-3.18383781797143	ESCC	EAA	ACH-000305
NA	-3.04398837909002	-1.55480860884023	-1.72719600314674	-1.75580390774387	-2.85415806046643	OV	EA	ACH-000308
NA	-0.848826601591202	0.491723488012069	-1.13778822945438	-2.31649662657203	-1.76958271602925	LUAD	EA	ACH-000309
NA	-1.08686755052395	-2.4422582877	-1.42676035120934	-1.65408662417353	-2.55702223422817	LUAD	EA	ACH-000311
NA	-3.35230746579472	-2.10793847302913	-0.970525219597743	-2.09763083164371	NA	KIRC	EAA	ACH-000313
NA	-1.29309267284483	-4.02928756910181	NA	-2.2906871484583	-3.45635975492451	LUAD	NA	ACH-000314
NA	-3.28933966587176	-2.61870363845923	-1.18806614073116	-1.82429223065432	-2.34412559279653	LIHC	NA	ACH-000316
NA	-2.42427284151761	-2.26693863691839	-0.991488421010426	-1.23521025647452	-2.9564161029043	KIRC	EAA	ACH-000317
NA	NA	-1.80567013201032	-1.08315113578916	-1.90859476704922	-2.56837960515258	ESCC	EAA	ACH-000318
NA	NA	-2.38627899168246	-1.30930387084811	-1.6583696116295	-2.74891444852431	GBM	EA	ACH-000323
NA	NA	-2.58947253894281	-1.11316789811454	-2.01860587230032	-2.75428219724516	OV	EAA	ACH-000324
NA	-4.09098118952724	-2.42672583252031	-0.679160372903085	-1.74000671476657	-2.53359556432681	STAD	NA	ACH-000325
NA	-1.14200316855914	NA	-1.98906703349655	-3.25155446760053	-3.34367601669638	LUAD	EA	ACH-000327
NA	NA	NA	-0.681388536325526	-1.90166077805468	-2.3174520332084	GBM	EA	ACH-000329
-3.59152677250758	-2.19699620910958	-2.24313415819572	-1.198729456578	-1.20399233122653	-3.84845892975111	BRCA	EA	ACH-000330
NA	-3.58096871923945	-2.35573566920086	-0.69742367549739	-1.95076703661044	-2.11406471043027	OV	EAA	ACH-000333
-4.11447776021835	-1.92728188995265	-2.25139694987143	-1.3405999521205	-1.06309956005801	NA	LUAD	EA	ACH-000337
NA	-1.68169814055724	-2.72078062176168	-1.37805491820258	-3.88924390221581	-2.45263345627253	COAD	EA	ACH-000342
NA	-1.22211528500484	-2.04520145841812	-1.71503937572175	-1.70407444576665	-3.30570318025123	LUAD	EA	ACH-000343
NA	-4.43973014477634	-1.61808774113665	-0.517859441653604	-1.36755827712764	NA	STAD	NA	ACH-000344
NA	-2.27181513918931	NA	-1.06779794485952	-1.07860933251218	-2.32132985492812	BRCA	AA	ACH-000349
-4.12361297007196	-2.33150438456185	-2.35090168255365	-1.00881527117714	-4.66431754709268	-2.99843778012443	COAD	EA	ACH-000350
NA	-2.77927386795694	-2.41878998641581	-0.850694368882411	-1.71666987777386	-2.35053727663298	STAD	EAA	ACH-000351
NA	-1.1199642715038	-0.743109790703596	-1.74638759528245	-3.83232441776482	-3.29398368585887	BRCA	EA	ACH-000352
NA	NA	-0.637669046876317	-0.924629946426593	-1.69140331251281	-1.88042781471196	ESCC	EAA	ACH-000353
NA	-2.32883217623681	-2.02017928004037	-0.643717292556852	-1.15988121698776	-2.70436501235025	STAD	EAA	ACH-000356
-3.26748463641033	-1.88864790364705	NA	-0.108658632267123	-1.1442851398185	-1.93958935736336	COAD	EA	ACH-000360
-3.66934750107593	NA	-3.03212409891348	-0.867754504814831	-1.06449268694179	NA	LIHC	EA	ACH-000361
NA	NA	-2.81808700055865	-0.577187333583331	-2.42000393637786	-2.79287930334174	GBM	NA	ACH-000368
NA	-3.65816084420434	-2.75575465489374	-0.852279757703009	-2.58332213688377	-2.24376269379351	GBM	NA	ACH-000370
-3.38469253152886	NA	-0.721956709895394	-0.919511865429605	-2.32396557271674	-2.30331393440266	BRCA	EA	ACH-000374
-2.4906695302728	-1.55869682902125	-2.02603543197797	-1.30567353997204	-2.21276171703359	-3.11080467179434	GBM	EA	ACH-000376
-4.0013285036173	-1.46915334885862	-1.64174630583166	-1.99726428541698	-2.239492815489	-2.85281153514837	LUAD	EA	ACH-000378
NA	-2.36622852278709	-0.837345132109053	-1.16769445458513	-2.58075010146619	-2.36701755517916	LUAD	EA	ACH-000379
NA	-1.85366992030339	-2.358653666191	-1.22910455796785	-2.23200778588577	-4.01781188956758	COAD	EA	ACH-000381
-4.5078188682772	-3.24113957934635	-2.19337746780525	-0.888473981224177	-2.66021836616283	-2.84360853551296	EAC	EA	ACH-000383
NA	-2.6761242307068	NA	-1.70041638350042	-1.95375283432408	-3.39087825592738	KIRC	NA	ACH-000385
-5.06818980523971	-2.61092941679252	-2.67299097866194	-1.40437197388263	NA	-3.21523106158494	LUAD	EA	ACH-000392
NA	-4.93116410669222	-3.29647133073998	-1.8246576902403	-1.95303148820512	-3.57875657724393	LIHC	EAA	ACH-000393
-3.13280011591012	-2.67075007765222	-2.11852851184529	-1.04637724018337	-1.28154693657241	-2.78454932130156	UCEC	EAA	ACH-000397
NA	-2.6510748415444	-1.8878581014324	-0.944609657461106	-1.17204794192168	-2.32809557651599	COAD	EA	ACH-000400
NA	-1.40308787247686	-1.19585174727632	-0.431958655833596	-1.80386803238899	-2.76343298008327	COAD	EA	ACH-000403
NA	-2.43551727346092	-3.95255663198133	-0.904038561164901	-1.85711911990628	-2.68692824826717	UCEC	NA	ACH-000407
NA	-2.13926514497664	-0.648542253839936	-0.953518677958553	-1.58745844314249	-2.48650405251572	ESCC	EAA	ACH-000408
NA	-2.08567986518632	-2.82650042387693	-0.902343510850626	-1.33425130714591	-2.67036111450442	OV	EAA	ACH-000409
NA	-1.54979341350172	-2.26175147872512	-1.16356854533742	-1.13954341922056	-3.54329063483881	KIRC	EA	ACH-000411
NA	NA	-2.92659501490254	-0.464262346515702	-1.8072077449552	-3.15980040176497	COAD	NA	ACH-000412
NA	-0.922542729066135	-1.97569328735052	-1.90449567097126	-2.02853027818684	-2.72705770077503	LUAD	EA	ACH-000414
NA	-0.512421735373761	-2.32869567509033	-2.07775113525429	NA	-3.63438625806055	LUAD	EA	ACH-000416
NA	-2.70180478213797	NA	-1.28444925445201	-1.38568558799215	-2.76490698053431	LIHC	NA	ACH-000420
-3.20578824142246	-2.22116732743404	-1.78152158059435	-0.44344535943831	-1.10157999737135	-1.95566372456766	COAD	EA	ACH-000421
NA	-2.41823121556706	-2.99268648069326	-1.31770205882757	-1.39462151161635	-3.06230848906647	LIHC	NA	ACH-000422
NA	-3.98933363428199	-2.31673261260942	-0.964032873322625	-1.85516116136028	-3.1202378680342	STAD	AA	ACH-000427
-3.57106828602933	-3.34030081323956	-2.42493007135098	-1.63732293229265	-1.62955379603991	-2.22265769683182	KIRC	NA	ACH-000428
NA	-3.92212054366259	-2.54488835180402	-1.28483962693258	-1.69568016267315	-3.11491837195839	KIRC	AA	ACH-000429
NA	-3.18972004872904	-3.18952728089478	-1.8220974837531	-1.71810756813708	-4.0613984387854	KIRC	EA	ACH-000433
NA	-2.96042191928575	-1.66719271355924	-0.601409830226121	-2.0789760397435	NA	UCEC	EA	ACH-000435
-4.29938560023201	-2.84370659568363	-1.68167480160067	-0.724652768681619	-1.60373406785486	-2.24630763634942	GBM	EA	ACH-000437
NA	-2.70925084677639	-3.28572062151426	-1.17436843379542	-1.34831204931196	-2.19487581289021	OV	EAA	ACH-000443
-3.93277367803577	-2.06819934044542	-2.52943453575302	-1.01896431721274	-3.19140429697885	-2.82853054284159	GBM	EAA	ACH-000445
NA	-2.66878267468422	0.412916881631925	-1.0163651960852	-0.947584990669937	-1.5662199092099	LUAD	EA	ACH-000447
NA	-0.8339751967061	-2.50358875088623	-1.83856403188951	-2.61333926129436	-4.1272468306978	LUAD	EA	ACH-000448
NA	-1.08301928953051	NA	-1.73953868209729	-2.38220912640065	-3.85944077020355	LUAD	EA	ACH-000451
NA	-2.23557208657495	-1.05591704168249	-0.71132616395501	-2.50185839566433	-3.26431995522204	ESCC	EAA	ACH-000452
NA	NA	-1.4247294467419	-1.11668353927261	-1.5901149220856	-2.30163398524932	THCA	EA	ACH-000456
NA	-2.65776186917216	-3.83134442400426	-1.69311818503847	-1.55227932696075	-2.45521331158764	KIRC	EA	ACH-000457
NA	-3.27668485156734	-4.0815905575035	-1.19656076774638	-1.17493401748695	NA	KIRC	EAA	ACH-000459
NA	-2.13153524571302	NA	-1.17645023236769	-1.41207764240279	NA	OV	NA	ACH-000460
NA	-2.35728039079743	NA	-1.02313976539703	-2.58865206848704	-2.71555625479524	GBM	EA	ACH-000464
NA	-2.30036371907412	-2.03737949553169	-0.627913039510186	-1.49034921718784	-1.99133517818343	STAD	NA	ACH-000466
NA	-2.05083697840233	-1.87171040486262	-1.04945148375658	-1.53473050399608	-2.69740273721177	COAD	EAA	ACH-000467
NA	-3.85896194372902	-2.56760198711818	-0.854337468598664	-1.16672148963684	-2.73200147673452	GBM	EAA	ACH-000469
NA	-3.8815435570324	-2.2308558376825	-1.11960767810793	-2.77628747681542	-3.14459502469209	COAD	EA	ACH-000470
-3.08499613153618	-2.27061677793794	NA	-1.24573695852103	-1.97820139461646	-2.56652801027294	LIHC	EAA	ACH-000471
NA	-3.19834737648385	-3.22502643482596	-1.63218492784526	-1.7326924217319	-3.2482036770898	LIHC	EAA	ACH-000475
NA	-1.95245590824142	-1.84629725892955	-0.679517181968834	-0.666653641161322	-2.82216603887886	LIHC	EAA	ACH-000476
-4.9982684612802	-2.46498958321547	NA	-1.29672050312422	-1.80084095145737	-2.72129214649234	LIHC	NA	ACH-000478
-4.51759531669531	NA	NA	-1.1045728685636	-2.03041429434327	-3.06856733967847	GBM	EAA	ACH-000479
NA	-2.66979382237519	NA	-1.70150626017448	-2.7751787708695	-4.37250109147442	LIHC	EAA	ACH-000480
NA	-1.72379905923688	-3.19938541995403	-1.60164956887577	-1.59467872712818	-2.68739382667551	LUAD	EAA	ACH-000482
NA	-2.00393988052993	-1.88649936973533	-0.720674066595456	-1.33893442691342	-2.3399971389682	LIHC	NA	ACH-000483
NA	-3.3805162923429	-2.49801863015084	-1.23868638906778	-2.31096355521164	-2.43018439135905	KIRC	EA	ACH-000484
NA	-3.10294975072631	-2.40411463076199	-0.492267060976454	-1.25300692078239	-3.33179658471458	STAD	EAA	ACH-000485
NA	-2.01364207100624	-1.03261371474536	-1.17460445686745	-1.3470478123231	NA	ESCC	EAA	ACH-000488
NA	-2.47097788927175	-2.2810766299689	-1.25941581437369	-2.48841035107216	-2.87377954541012	COAD	EA	ACH-000489
NA	-3.50410475526328	-2.64565296489656	-1.61360898354604	-2.38952432953521	-2.74870843354361	COAD	NA	ACH-000491
NA	-3.06932574111412	-2.36793895338735	-1.39496934738111	-1.94278724247955	-2.45684290335519	LIHC	NA	ACH-000493
-3.59151968345812	NA	-3.78217501334916	-0.973301135655177	-2.02901929575901	-2.36808677568403	OV	EA	ACH-000494
NA	-3.49669556103914	-2.44627604585751	-1.6972027422326	-0.980927986498611	-3.51929837146944	KIRC	EAA	ACH-000495
NA	-0.963717480057033	-1.61275911462439	-1.45303632426625	-1.84782440753332	NA	LUAD	EA	ACH-000496
NA	-1.74722442051992	-1.85170467766501	-1.17363834703101	-1.41868883927518	-3.22701533092475	COAD	EA	ACH-000501
NA	-2.38757425628766	-2.15500809906115	-0.87664280415523	-1.57372147409343	-2.29587005852992	GBM	NA	ACH-000504
NA	NA	-2.74433836607042	-1.664273517907	-1.67140537122988	-2.94013791239671	STAD	EAA	ACH-000507
NA	NA	-2.29215610452714	-1.09213375028696	-1.37313644531362	-2.26178014382751	KIRC	NA	ACH-000513
NA	-1.83699171161411	-2.95007199028665	-1.540126252496	-2.35721284135416	-2.91623697249958	OV	EA	ACH-000520
NA	-0.237052941059315	-1.33732913376632	-1.56962053538175	-1.80996048558325	-2.97170359157803	LUAD	EA	ACH-000521
NA	-2.63875684532079	-1.72110649575867	-1.03555687932238	-1.78913182506588	-2.5959661861362	OV	EAA	ACH-000527
NA	-3.2665448103137	-2.3948162698943	-1.47941467838235	-1.72928890724571	-3.12768581690142	LUAD	EAA	ACH-000528
-3.16882654201206	-2.45464614228825	-2.34574125417084	-0.547711539595015	-1.85221734403962	-2.71234771546791	COAD	NA	ACH-000532
NA	-2.81736077216329	-0.960689756813651	-1.74360172657049	-1.72828882881732	-2.55089993543385	BRCA	EA	ACH-000536
-3.67061900427951	-3.35198338401581	-2.47439897357427	-1.09022362840279	-1.29838872168955	-2.66983432893606	LIHC	NA	ACH-000537
-3.59866196211094	NA	-2.59495481666621	-1.03593784912776	-1.22786237257935	-2.23807230342938	LUAD	NA	ACH-000539
-2.03979495628811	-3.76051612597909	-3.20030777522743	-1.31255681148938	-1.87729709549949	-2.85579786781549	OV	EA	ACH-000542
-4.38651414100767	NA	NA	-0.962972216993085	-1.51806341150887	-3.95846025174684	GBM	NA	ACH-000543
-3.63684115695414	-2.055651426179	0.126300163043455	-1.29765690338158	-2.39955771374154	-1.15847783079732	ESCC	EA	ACH-000544
NA	-1.87879233796979	-0.928504791521424	-0.960559375936125	-1.46203525633189	-1.87723154061109	COAD	EA	ACH-000552
-3.67134712054173	-2.35589185360078	-0.628678774453773	-1.54301298294243	-3.46152236817529	-3.06791124357028	BRCA	EA	ACH-000554
NA	-2.04156912674762	-2.41903954414576	-1.47577882862686	-2.29842601935795	-3.4701684765015	KIRC	EA	ACH-000555
-2.96218818169297	-1.47859725251577	-3.52324877201385	-1.48715139929051	-1.56451449179501	-2.78057344636691	GBM	EA	ACH-000558
NA	-2.15688961881573	-2.63055961492622	-0.542293884841607	-1.59588726126408	-2.88491118866142	STAD	EAA	ACH-000560
NA	-3.39789235097991	-1.5047927462812	-1.29733555060765	-1.69259532976214	-2.79929805286646	ESCC	EA	ACH-000561
NA	-2.61678275820712	0.977305320211996	-0.309527235408133	-1.7345353685266	-1.1446379970162	LUAD	EA	ACH-000562
NA	-2.32708157754551	-2.02954541372785	-0.66410775080325	-1.15119093364359	-2.85647843577693	COAD	EAA	ACH-000565
NA	-3.76535750697195	-1.90344517623166	-1.23777570823085	-1.06817250536218	-2.73408996678495	BRCA	NA	ACH-000568
-4.50869891856603	-2.40872700783578	-2.29267501337407	-1.0894793549468	-1.89507918171729	-2.97851012734551	GBM	EAA	ACH-000570
-3.3761009475236	-1.8289536397802	-1.9420090235962	-1.01327323378998	-1.34548479326419	-3.53879342813901	GBM	EA	ACH-000571
NA	-2.09220850272575	-1.69738681133919	-1.81991911474788	-1.96547887493301	-5.38059431234045	BRCA	EA	ACH-000573
-5.1178978247695	-3.03388859282554	-2.76267681488645	-1.31340910484641	-1.28202965604746	-2.58278787229211	OV	EAA	ACH-000574
NA	-2.8555791476475	-3.19132521759264	-1.29423468536258	-1.89046781598308	-5.34738814407415	LIHC	EAA	ACH-000577
NA	-2.54324184426818	-2.4452647990621	-0.412723424152539	-0.645607402073944	-1.75933884580008	STAD	EAA	ACH-000581
NA	-2.81620696794262	-2.19005783751037	-1.81130072317159	-2.38860106615204	-3.59304778478507	OV	EAA	ACH-000584
-4.08533111376193	-1.32661604344767	-2.15389169253552	-1.10525294836752	-1.88350423102053	-2.99492375746554	LUAD	EA	ACH-000587
-3.96491256818821	-1.01195821577857	-1.84414306363912	-1.32041400400991	NA	-3.55735235348227	LUAD	EA	ACH-000589
NA	-0.665019186736305	-2.42870932142588	-1.88601647249479	-2.23223339173904	-2.9740831703771	LUAD	EA	ACH-000590
NA	-2.55366955812885	-2.05508966410894	-1.61315028831524	-2.46248023980138	-3.41964638275352	GBM	EA	ACH-000595
